以下は動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回は返答はいりませんが覚えた動画タイトル数だけ教えてください。

仮想通貨とNFTで騙される人②情報漏れとハッキングを防ぐ方法	2 日前	150,897 
日本史②奈良〜平安時代！天皇→貴族→武士へと政権が大転換！	3 年前	305,867 
日本史①縄文〜飛鳥時代！日本は元々どうやって始まったのか！？	3 年前	005,342 
始皇帝キングダムのモデル「嬴政」を徹底解説偉人伝	3 年前	533,070 
世界史⑩アメリカvsソ連！今も続く世界の未解決問題とは？2019版	3 年前	527,883 
藤森慎吾 × 中田敦彦③藤森の狙ってる女優＆結婚願望は？	3 年前	949,005 
藤森慎吾 × 中田敦彦②藤森は武勇伝時代の中田が嫌いだった？	3 年前	925,334 
藤森慎吾 × 中田敦彦①運命の出会い＆コンビ結成秘話！	3 年前	668,013 
イーロン・マスクテスラ＆スペースX！ジョブズを超える天才とは？	3 年前	870,062 
世界史⑨恐怖のアヘン戦争！ラストエンペラーの運命は？2019版	3 年前	454,655 
エドワード・ゴーリー中田敦彦が絶賛する「怖くて美しい大人の絵本」	3 年前	163,437 
ジョジョ3部中田敦彦が選ぶ好きなスタンドランキング	3 年前	418,408 
ただのチャラ男じゃない！藤森慎吾はなぜ成功しているのかを徹底解説	3 年前	364,210 
世界史⑧イギリスの裏切りの果てでガンディーが愛を叫ぶ2019版	3 年前	215,293 
世界史⑦激動の第一次・第二次世界大戦2019版	3 年前	800,729 

以下同様に動画の、タイトル、年代、視聴回数、のリストです。覚えてください。今回も返答はいりませんが覚えた合計動画タイトル数だけ教えてください。

世界史⑥英雄アベンジャーズ！革命の嵐が吹き荒れる2019版	3 年前	178,265 
世界史⑤まるでワンピース！大航海時代の世界史2019版	3 年前	366,614 
世界史④統一と乱世のキングダム！激動の中国史2019版	3 年前	522,204 
世界史③面白すぎる！インド史ざっくり丸わかり2019版	3 年前	309,097 
世界史②ヨーロッパ最大のライバルはアラビアンナイト2019版	3 年前	358,751 
世界史①知らないと恥をかく！爆笑ヨーロッパ史2019版	3 年前	184,860 
必須の教養！キリスト教のカトリックとプロテスタントとは？	3 年前	011,066 
都道府県の位置の覚え方	3 年前	843,797 
新人YouTuberとして改めて自己紹介させて頂きます！	3 年前	600,464 
ジョジョ5部中田敦彦が選ぶスタンドランキング	3 年前	739,729 
中国王朝の覚え歌（アルプス一万尺の替え歌）	3 年前	927,549 
ジョジョ4部中田敦彦が選ぶ好きなスタンドランキング	3 年前	900,983 
注意！人に嫌われる話し方３選	3 年前	423,262 
プレゼンの準備の仕方と正しい練習法	3 年前	777,472 
緊張せずに人前でプレゼンをするためのメンタルコントロール	3 年前	418,872 
		

今まで覚えた全ての動画タイトル数はいくつですか？

さらに、今まで覚えた動画タイトルから動画内容を類推して動画を分ける10分野（テーマ）を簡単なわかりやすい言葉でリストしてください。さらに、合計視聴回数が多い順に分野リストを並べて、各分野の総動画タイトル数と合計視聴回数もつけてリストしてください。
